school,city,stateProvince,country,schoolcitystate,lon,lat
Bev Facey,Sherwood Park,AB,Canada,"Bev Facey, Sherwood Park, AB",-113.2690327,53.5249142
Clearwater Academy International,NA,AB,Canada,"Clearwater Academy International, NA, AB",-82.7955034,27.9678526
Lethbridge Collegiate Institute,Calgary,AB,Canada,"Lethbridge Collegiate Institute, Calgary, AB",-112.8173346,49.6941101
Notre Dame High School,Calgary,AB,Canada,"Notre Dame High School, Calgary, AB",-114.067011,51.156637
Bartlett,Elmendorf Afb,AK,USA,"Bartlett, Elmendorf Afb, AK",-149.7334299,61.2320185
Colony,Palmer,AK,USA,"Colony, Palmer, AK",-149.1127576,61.6028721
East,Anchorage,AK,USA,"East, Anchorage, AK",-149.8914297,61.2127257
North Pole,North Pole,AK,USA,"North Pole, North Pole, AK",-147.3494443,64.7511111
Service,Anchorage,AK,USA,"Service, Anchorage, AK",-149.9503255,61.1576239
St. Mary's School,Saint Marys,AK,USA,"St. Mary's School, Saint Marys, AK",-163.1784855,62.0534406
Wasilla,Wasilla,AK,USA,"Wasilla, Wasilla, AK",-149.4410598,61.5808763
West,Anchorage,AK,USA,"West, Anchorage, AK",-149.8637929,61.2248279
Acts Academy,Valley,AL,USA,"Acts Academy, Valley, AL",-85.1935219,32.8179883
Akron Comm Sch East,Akron,AL,USA,"Akron Comm Sch East, Akron, AL",-87.7340795,32.8736724
Albert P Brewer,Somerville,AL,USA,"Albert P Brewer, Somerville, AL",-86.7053107,34.4133327
Albertville,Albertville,AL,USA,"Albertville, Albertville, AL",-86.2088669,34.2675937
Aliceville,Aliceville,AL,USA,"Aliceville, Aliceville, AL",-88.1514166,33.1295681
Alma Bryant,Irvington,AL,USA,"Alma Bryant, Irvington, AL",-88.2802056,30.4420967
Amelia L. Johnson Sch,Thomaston,AL,USA,"Amelia L. Johnson Sch, Thomaston, AL",-87.6339554,32.2807126
American Christian,Tuscaloosa,AL,USA,"American Christian, Tuscaloosa, AL",-87.5079894,33.1994604
Andalusia,Andalusia,AL,USA,"Andalusia, Andalusia, AL",-86.4832913,31.3085039
Anniston Sch,Anniston,AL,USA,"Anniston Sch, Anniston, AL",-85.8226438,33.7081397
Ariton Sch,Ariton,AL,USA,"Ariton Sch, Ariton, AL",-85.7210568,31.6021893
