"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"1","Bev Facey","Sherwood Park","AB","Canada","Bev Facey, Sherwood Park, AB","Bev Facey, Sherwood Park, AB",-113.2690327,53.5249142
"2","Clearwater Academy International",NA,"AB","Canada","Clearwater Academy International, NA, AB","Clearwater Academy International, AB",-82.7955034,27.9678526
"3","Lethbridge Collegiate Institute","Calgary","AB","Canada","Lethbridge Collegiate Institute, Calgary, AB","Lethbridge Collegiate Institute, Calgary, AB",-112.8173346,49.6941101
"4","Notre Dame High School","Calgary","AB","Canada","Notre Dame High School, Calgary, AB","Notre Dame High School, Calgary, AB",-114.067011,51.156637
"5","Bartlett","Elmendorf Afb","AK","USA","Bartlett, Elmendorf Afb, AK","Bartlett, Elmendorf Afb, AK",-149.7334299,61.2320185
"6","Colony","Palmer","AK","USA","Colony, Palmer, AK","Colony, Palmer, AK",-149.1127576,61.6028721
"7","East","Anchorage","AK","USA","East, Anchorage, AK","East, Anchorage, AK",-149.8914297,61.2127257
"8","North Pole","North Pole","AK","USA","North Pole, North Pole, AK","North Pole, North Pole, AK",-147.3494443,64.7511111
"9","Service","Anchorage","AK","USA","Service, Anchorage, AK","Service, Anchorage, AK",-149.9503255,61.1576239
"10","St. Mary's School","Saint Marys","AK","USA","St. Mary's School, Saint Marys, AK","St. Mary's School, Saint Marys, AK",-163.1784855,62.0534406
"11","Wasilla","Wasilla","AK","USA","Wasilla, Wasilla, AK","Wasilla, Wasilla, AK",-149.4410598,61.5808763
"12","West","Anchorage","AK","USA","West, Anchorage, AK","West, Anchorage, AK",-149.8637929,61.2248279
"13","Acts Academy","Valley","AL","USA","Acts Academy, Valley, AL","Acts Academy, Valley, AL",-85.1935219,32.8179883
"14","Akron Comm Sch East","Akron","AL","USA","Akron Comm Sch East, Akron, AL","Akron Comm Sch East, Akron, AL",-87.7340795,32.8736724
"15","Albert P Brewer","Somerville","AL","USA","Albert P Brewer, Somerville, AL","Albert P Brewer, Somerville, AL",-86.7053107,34.4133327
"16","Albertville","Albertville","AL","USA","Albertville, Albertville, AL","Albertville, Albertville, AL",-86.2088669,34.2675937
"17","Aliceville","Aliceville","AL","USA","Aliceville, Aliceville, AL","Aliceville, Aliceville, AL",-88.1514166,33.1295681
"18","Alma Bryant","Irvington","AL","USA","Alma Bryant, Irvington, AL","Alma Bryant, Irvington, AL",-88.2802056,30.4420967
"19","Amelia L. Johnson Sch","Thomaston","AL","USA","Amelia L. Johnson Sch, Thomaston, AL","Amelia L. Johnson Sch, Thomaston, AL",-87.6339554,32.2807126
"20","American Christian","Tuscaloosa","AL","USA","American Christian, Tuscaloosa, AL","American Christian, Tuscaloosa, AL",-87.5079894,33.1994604
"21","Andalusia","Andalusia","AL","USA","Andalusia, Andalusia, AL","Andalusia, Andalusia, AL",-86.4832913,31.3085039
"22","Anniston Sch","Anniston","AL","USA","Anniston Sch, Anniston, AL","Anniston Sch, Anniston, AL",-85.8226438,33.7081397
"23","Ariton Sch","Ariton","AL","USA","Ariton Sch, Ariton, AL","Ariton Sch, Ariton, AL",-85.7210568,31.6021893
"24","Ashford Sch","Ashford","AL","USA","Ashford Sch, Ashford, AL","Ashford Sch, Ashford, AL",-85.232457,31.183804
"25","Ashville","Ashville","AL","USA","Ashville, Ashville, AL","Ashville, Ashville, AL",-86.2544223,33.8370433
"26","Athens","Athens","AL","USA","Athens, Athens, AL","Athens, Athens, AL",-86.9716741,34.8028661
"27","Auburn","Auburn","AL","USA","Auburn, Auburn, AL","Auburn, Auburn, AL",-85.4807825,32.6098566
"28","Austin","Decatur","AL","USA","Austin, Decatur, AL","Austin, Decatur, AL",-87.0075914,34.5794759
"29","Autauga Academy","Prattville","AL","USA","Autauga Academy, Prattville, AL","Autauga Academy, Prattville, AL",-86.5424657,32.4714971
"30","Autaugaville Sch","Autaugaville","AL","USA","Autaugaville Sch, Autaugaville, AL","Autaugaville Sch, Autaugaville, AL",-86.660366,32.4346876
"31","Baker","Mobile","AL","USA","Baker, Mobile, AL","Baker, Mobile, AL",-88.2522215,30.6695103
"32","Baldwin Co Sch","Bay Minette","AL","USA","Baldwin Co Sch, Bay Minette, AL","Baldwin Co Sch, Bay Minette, AL",-87.7875637,30.9125347
"33","Baldwin County","Bay Minette","AL","USA","Baldwin County, Bay Minette, AL","Baldwin County, Bay Minette, AL",-87.7730474,30.8829628
"34","Barbour Co Sch","Clayton","AL","USA","Barbour Co Sch, Clayton, AL","Barbour Co Sch, Clayton, AL",-85.446231,31.868866
"35","Bayside Academy","Daphne","AL","USA","Bayside Academy, Daphne, AL","Bayside Academy, Daphne, AL",-87.9111082,30.6022196
"36","Beauregard","Opelika","AL","USA","Beauregard, Opelika, AL","Beauregard, Opelika, AL",-85.3717696,32.5503563
"37","Ben C Rain Sch","Mobile","AL","USA","Ben C Rain Sch, Mobile, AL","Ben C Rain Sch, Mobile, AL",-88.0735688,30.6075638
"38","Benjamin Russell Sch","Alexander City","AL","USA","Benjamin Russell Sch, Alexander City, AL","Benjamin Russell Sch, Alexander City, AL",-85.9504932,32.9379599
"39","Berry Sch","Berry","AL","USA","Berry Sch, Berry, AL","Berry Sch, Berry, AL",-87.6011905,33.6642465
"40","Bessemer Academy","Hueytown","AL","USA","Bessemer Academy, Hueytown, AL","Bessemer Academy, Hueytown, AL",-86.991878,33.354906
"41","Bessemer Academy","Tuscaloosa","AL","USA","Bessemer Academy, Tuscaloosa, AL","Bessemer Academy, Tuscaloosa, AL",-86.991878,33.354906
"42","Bessemer City","Bessemer","AL","USA","Bessemer City, Bessemer, AL","Bessemer City, Bessemer, AL",-86.954437,33.4017766
"43","Bibb Co Sch","Centreville","AL","USA","Bibb Co Sch, Centreville, AL","Bibb Co Sch, Centreville, AL",-87.1422895,32.9562798
"44","Blount","Eight Mile","AL","USA","Blount, Eight Mile, AL","Blount, Eight Mile, AL",-88.1789417,30.7788699
"45","Blount","Mobile","AL","USA","Blount, Mobile, AL","Blount, Mobile, AL",-88.1789417,30.7788699
"46","Boaz Sch","Boaz","AL","USA","Boaz Sch, Boaz, AL","Boaz Sch, Boaz, AL",-86.1644937,34.2113704
"47","Bob Jones","Madison","AL","USA","Bob Jones, Madison, AL","Bob Jones, Madison, AL",-86.7422009,34.719135
"48","Booker T Washington","Tuskegee","AL","USA","Booker T Washington, Tuskegee, AL","Booker T Washington, Tuskegee, AL",-85.7334814,32.3996867
"49","Brantley","Brantley","AL","USA","Brantley, Brantley, AL","Brantley, Brantley, AL",-86.2571786,31.5823832
"50","Brantley Elem Sch","Selma","AL","USA","Brantley Elem Sch, Selma, AL","Brantley Elem Sch, Selma, AL",-86.9608986,32.4241531
"51","Briarwood Christian","Birmingham","AL","USA","Briarwood Christian, Birmingham, AL","Briarwood Christian, Birmingham, AL",-86.6898277,33.3916602
"52","Brindlee Mt Sch","Guntersville","AL","USA","Brindlee Mt Sch, Guntersville, AL","Brindlee Mt Sch, Guntersville, AL",-86.4224872,34.3761508
"53","Brooks","Killen","AL","USA","Brooks, Killen, AL","Brooks, Killen, AL",-87.494043,34.8580671
"54","Brookwood Sch","Brookwood","AL","USA","Brookwood Sch, Brookwood, AL","Brookwood Sch, Brookwood, AL",-87.3152037,33.2598688
"55","Buckhorn","New Market","AL","USA","Buckhorn, New Market, AL","Buckhorn, New Market, AL",-86.4555737,34.8704143
"56","Calera","Calera","AL","USA","Calera, Calera, AL","Calera, Calera, AL",-86.7535975,33.1028965
"57","Carroll Sch","Ozark","AL","USA","Carroll Sch, Ozark, AL","Carroll Sch, Ozark, AL",-85.6260619,31.4596105
"58","Carver","Montgomery","AL","USA","Carver, Montgomery, AL","Carver, Montgomery, AL",-86.324841,32.3489635
"59","Cedar Bluff Sch","Cedar Bluff","AL","USA","Cedar Bluff Sch, Cedar Bluff, AL","Cedar Bluff Sch, Cedar Bluff, AL",-85.6039713,34.2195243
"60","Central","Phenix City","AL","USA","Central, Phenix City, AL","Central, Phenix City, AL",-85.0395037,32.4849608
"61","Central Sch","Florence","AL","USA","Central Sch, Florence, AL","Central Sch, Florence, AL",-87.7978487,34.8969468
"62","Central Sch","Rockford","AL","USA","Central Sch, Rockford, AL","Central Sch, Rockford, AL",-86.2222814,32.8875301
